City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
36,Reitz,ZA,2021-07-19 18:19:25,-27.8014,28.4273,44.73,24,0,5.39
37,Vaini,TO,2021-07-19 18:15:09,-21.2,-175.2,69.96,94,20,2.3
38,Mocuba,MZ,2021-07-19 18:19:25,-16.8392,36.9856,62.53,86,27,4.23
39,Bentiu,SS,2021-07-19 18:19:25,9.2333,29.8333,75.27,84,55,6.38
40,Portland,US,2021-07-19 18:18:29,45.5234,-122.6762,79.79,49,1,1.99
41,Sawankhalok,TH,2021-07-19 18:19:26,17.316,99.8319,80.71,95,99,8.68
42,Nhulunbuy,AU,2021-07-19 18:19:26,-12.2333,136.7667,72.21,88,16,4.61
43,Barrow,US,2021-07-19 18:14:44,71.2906,-156.7887,39.22,93,90,5.75
44,Port Alberni,CA,2021-07-19 18:16:15,49.2413,-124.8028,75.16,55,0,1.99
45,Yangjiang,CN,2021-07-19 18:19:27,21.85,111.9667,77.54,90,100,21.07
46,Rocha,UY,2021-07-19 18:19:27,-34.4833,-54.3333,52.7,65,60,13.22
47,Severo-Kurilsk,RU,2021-07-19 18:14:52,50.6789,156.125,49.91,96,97,8.39
48,Jamestown,US,2021-07-19 18:15:34,42.097,-79.2353,82.29,57,20,8.05
49,Sao Joao Da Barra,BR,2021-07-19 18:19:28,-21.6403,-41.0511,73.49,72,100,14.9
50,Bluff,NZ,2021-07-19 18:19:28,-46.6,168.3333,38.8,88,61,11.23
51,Atuona,PF,2021-07-19 18:19:28,-9.8,-139.0333,77.76,70,21,25.1
52,Port Elizabeth,ZA,2021-07-19 18:14:34,-33.918,25.5701,59.09,78,22,14.27
53,Clyde River,CA,2021-07-19 18:15:47,70.4692,-68.5914,44.83,53,90,8.05
54,Kiknur,RU,2021-07-19 18:19:29,57.3034,47.2011,72.77,71,68,4.97
55,Mataura,NZ,2021-07-19 18:19:29,-46.1927,168.8643,38.48,96,49,3.02
56,Port Alfred,ZA,2021-07-19 18:19:30,-33.5906,26.891,61.95,81,0,11.34
